V1,V2,
Zm00001d022276,8,0
Zm00001d049158,6,1
Zm00001d019450,7,0
Zm00001d004731,5,0
Zm00001d023634,3,0
Zm00001d023700,5,0
Zm00001d027975,8,0
Zm00001d015670,2,0
Zm00001d031449,5,0
Zm00001d002884,2,0
Zm00001d039280,5,0
Zm00001d012321,2,0
Zm00001d040681,2,0
Zm00001d033160,8,0
Zm00001d034601,7,1
Zm00001d038165,5,0
Zm00001d018001,8,0
Zm00001d052837,5,0
Zm00001d004753,2,0
Zm00001d036929,8,0
Zm00001d052063,5,0
Zm00001d023801,8,0
Zm00001d008681,7,0
Zm00001d027991,6,1
Zm00001d017699,2,0
Zm00001d014007,2,0
Zm00001d031158,5,0
Zm00001d019216,2,1
Zm00001d039077,2,1
Zm00001d036626,3,0
Zm00001d002256,4,0
Zm00001d015743,7,1
Zm00001d038269,8,0
Zm00001d049870,6,1
Zm00001d037367,6,0
Zm00001d039933,2,0
Zm00001d021444,4,0
Zm00001d042993,5,0
Zm00001d032138,2,0
Zm00001d045092,5,0
Zm00001d010227,3,1
Zm00001d038227,3,1
Zm00001d039532,5,1
Zm00001d033517,5,0
Zm00001d034558,7,0
Zm00001d019712,2,1
Zm00001d043178,2,0
Zm00001d011760,7,0
Zm00001d023737,8,0
Zm00001d013440,2,0
Zm00001d044683,6,0
Zm00001d047931,2,0
Zm00001d016076,1,0
Zm00001d014984,2,0
Zm00001d033229,1,0
Zm00001d033005,6,1
Zm00001d009373,8,0
Zm00001d033047,1,0
Zm00001d018627,5,0
Zm00001d015905,6,0
Zm00001d034318,7,0
Zm00001d022154,2,0
Zm00001d028941,5,0
Zm00001d020976,2,0
Zm00001d045030,2,0
Zm00001d038181,2,0
Zm00001d003294,3,0
Zm00001d035456,7,0
Zm00001d044728,2,0
Zm00001d053394,5,0
Zm00001d049364,2,1
Zm00001d026223,6,0
Zm00001d045204,2,1
Zm00001d031717,7,1
Zm00001d037057,7,0
Zm00001d017480,6,1
Zm00001d002744,6,1
Zm00001d010987,3,1
Zm00001d020500,4,0
Zm00001d043474,2,1
Zm00001d032870,5,0
Zm00001d050055,5,0
Zm00001d014487,6,0
Zm00001d006610,7,0
Zm00001d021477,8,0
Zm00001d043479,7,0
Zm00001d011953,3,1
Zm00001d042267,3,1
Zm00001d053626,2,0
Zm00001d043050,2,0
Zm00001d024786,7,0
Zm00001d040034,7,0
Zm00001d032372,2,0
Zm00001d042127,2,1
Zm00001d002520,2,0
Zm00001d052021,8,0
Zm00001d015614,6,1
Zm00001d018107,2,0
Zm00001d043972,7,0
Zm00001d008962,8,0
Zm00001d012808,6,0
Zm00001d009328,5,0
Zm00001d010175,5,1
Zm00001d037228,7,0
Zm00001d021577,5,0
Zm00001d017712,6,1
Zm00001d038296,6,1
Zm00001d045478,2,0
Zm00001d052152,6,1
Zm00001d018191,2,1
Zm00001d006199,5,0
Zm00001d040659,7,0
Zm00001d045036,4,0
Zm00001d012302,2,0
Zm00001d037632,2,0
Zm00001d011669,6,1
Zm00001d025869,6,0
Zm00001d042905,6,0
Zm00001d001785,8,0
Zm00001d034111,3,0
Zm00001d052721,4,0
Zm00001d030220,7,0
Zm00001d014201,6,1
Zm00001d024047,6,0
Zm00001d040468,5,0
Zm00001d003358,5,0
Zm00001d020627,6,0
Zm00001d043663,5,1
Zm00001d008273,5,0
Zm00001d033455,5,0
Zm00001d017270,2,0
Zm00001d010676,2,1
Zm00001d041773,5,0
Zm00001d014405,5,1
Zm00001d020351,5,0
Zm00001d006790,4,0
Zm00001d051313,8,0
Zm00001d009435,6,1
Zm00001d026563,2,1
Zm00001d052744,5,0
Zm00001d036051,8,0
Zm00001d014814,8,1
Zm00001d016765,6,0
Zm00001d005203,2,0
Zm00001d027875,2,0
Zm00001d046568,7,1
Zm00001d038648,7,0
Zm00001d027425,4,1
Zm00001d048474,4,1
Zm00001d043019,6,0
Zm00001d048789,5,0
Zm00001d045785,5,0
Zm00001d015338,8,0
Zm00001d040697,2,0
Zm00001d014559,7,0
Zm00001d016052,2,1
Zm00001d053369,2,1
Zm00001d044171,2,1
Zm00001d049002,6,0
Zm00001d044785,7,1
Zm00001d005807,7,0
Zm00001d029777,6,0
Zm00001d025342,8,0
Zm00001d017880,7,0
Zm00001d051125,5,0
Zm00001d024572,7,0
Zm00001d038467,8,0
Zm00001d005008,8,0
Zm00001d013287,7,0
Zm00001d012166,8,0
Zm00001d029501,5,0
Zm00001d024403,4,0
Zm00001d038563,2,0
Zm00001d032155,2,0
Zm00001d002828,6,1
Zm00001d035689,6,0
Zm00001d043587,6,0
Zm00001d017199,8,0
Zm00001d033602,5,1
Zm00001d050163,3,0
Zm00001d019899,7,0
Zm00001d033859,6,1
Zm00001d033861,6,1
Zm00001d004086,2,1
Zm00001d049502,2,0
Zm00001d002082,8,0
Zm00001d032672,6,0
Zm00001d005658,2,0
Zm00001d046667,6,0
Zm00001d031201,7,0
Zm00001d031653,1,0
Zm00001d036351,8,0
Zm00001d044540,8,0
Zm00001d046281,2,0
Zm00001d030530,8,0
Zm00001d053026,4,0
Zm00001d020903,6,0
Zm00001d042739,5,0
Zm00001d005451,6,0
Zm00001d003879,3,0
Zm00001d053707,2,1
Zm00001d015639,2,1
Zm00001d017545,1,0
Zm00001d005749,5,1
Zm00001d050959,1,1
Zm00001d027723,7,0
Zm00001d016516,3,0
Zm00001d039271,3,0
Zm00001d044159,7,0
Zm00001d027337,8,0
Zm00001d028401,8,0
Zm00001d037329,2,0
Zm00001d010426,6,0
Zm00001d044185,1,0
Zm00001d038371,6,0
Zm00001d011228,5,0
Zm00001d039002,3,1
Zm00001d043703,3,0
Zm00001d003850,2,0
Zm00001d015802,8,0
Zm00001d006236,4,1
Zm00001d021718,4,0
Zm00001d046921,2,0
Zm00001d009705,5,0
Zm00001d026632,2,0
Zm00001d029313,5,0
Zm00001d033747,2,0
Zm00001d047799,2,0
Zm00001d012968,2,1
Zm00001d030614,8,0
Zm00001d043205,2,1
Zm00001d037273,7,0
Zm00001d042122,6,0
Zm00001d020497,2,0
Zm00001d003559,7,0
Zm00001d005782,5,0
Zm00001d038925,4,0
Zm00001d037194,6,0
Zm00001d021557,4,0
Zm00001d005760,6,1
Zm00001d008340,5,0
Zm00001d033558,6,0
Zm00001d044018,7,0
Zm00001d017612,2,0
Zm00001d021291,4,1
Zm00001d039062,8,0
Zm00001d007272,7,0
Zm00001d052749,8,0
Zm00001d003833,7,0
Zm00001d016248,5,0
Zm00001d042940,7,0
Zm00001d016577,7,0
Zm00001d034031,2,0
Zm00001d048157,7,0
Zm00001d052733,6,0
Zm00001d029950,8,0
Zm00001d004614,6,0
Zm00001d003245,2,0
Zm00001d011959,6,0
Zm00001d036010,4,0
Zm00001d012702,8,0
Zm00001d037318,5,0
Zm00001d010048,4,1
Zm00001d024458,5,0
Zm00001d018807,8,0
Zm00001d044443,5,0
Zm00001d048137,8,0
Zm00001d027965,6,0
Zm00001d003248,3,0
Zm00001d039575,5,0
Zm00001d008987,5,0
Zm00001d049954,5,0
Zm00001d039591,2,0
Zm00001d013489,2,0
Zm00001d018332,5,0
Zm00001d044680,6,1
Zm00001d050664,8,1
Zm00001d049320,3,0
Zm00001d005935,7,0
Zm00001d015515,5,1
Zm00001d020552,7,0
Zm00001d042035,2,0
Zm00001d037797,5,0
Zm00001d031913,8,0
Zm00001d046174,6,1
Zm00001d017291,6,0
Zm00001d003615,7,0
Zm00001d039266,8,1
Zm00001d052389,8,0
Zm00001d008600,1,0
Zm00001d044724,8,0
Zm00001d017462,2,1
Zm00001d007015,5,0
Zm00001d008540,2,0
Zm00001d017622,2,0
Zm00001d019672,7,0
Zm00001d026127,3,0
Zm00001d043830,2,0
Zm00001d003033,8,0
Zm00001d011133,5,1
Zm00001d009619,5,1
Zm00001d007341,1,0
Zm00001d047187,4,0
Zm00001d025060,3,1
Zm00001d029133,3,0
Zm00001d040263,4,0
Zm00001d009891,8,0
Zm00001d053695,5,0
Zm00001d029716,7,0
Zm00001d037781,8,0
Zm00001d021698,5,0
Zm00001d008782,8,0
Zm00001d041604,2,1
Zm00001d005699,2,0
Zm00001d050241,6,0
Zm00001d031873,3,0
Zm00001d043950,5,1
