TF,Target
Zm00001d031736,Zm00001d009556
Zm00001d035323,Zm00001d048954
Zm00001d003645,Zm00001d042588
Zm00001d047081,Zm00001d029896
Zm00001d043915,Zm00001d009751
Zm00001d052738,Zm00001d007027
Zm00001d052133,Zm00001d034818
Zm00001d002364,Zm00001d048294
Zm00001d048391,Zm00001d017357
Zm00001d012968,Zm00001d038471
Zm00001d011597,Zm00001d007082
Zm00001d045112,Zm00001d016197
Zm00001d040554,Zm00001d006149
Zm00001d002364,Zm00001d026271
Zm00001d031009,Zm00001d039062
Zm00001d011597,Zm00001d038301
Zm00001d022628,Zm00001d042795
Zm00001d003331,Zm00001d026063
Zm00001d049364,Zm00001d027929
Zm00001d024324,Zm00001d005892
Zm00001d033325,Zm00001d052442
Zm00001d005892,Zm00001d021208
Zm00001d037461,Zm00001d014640
Zm00001d031009,Zm00001d005269
Zm00001d023955,Zm00001d037737
Zm00001d005100,Zm00001d037100
Zm00001d026447,Zm00001d002079
Zm00001d050310,Zm00001d037124
Zm00001d014201,Zm00001d009506
Zm00001d002364,Zm00001d048226
Zm00001d018742,Zm00001d033859
Zm00001d015614,Zm00001d038969
Zm00001d002364,Zm00001d017852
Zm00001d002364,Zm00001d052533
Zm00001d031182,Zm00001d033898
Zm00001d020408,Zm00001d003445
Zm00001d017592,Zm00001d028374
Zm00001d014286,Zm00001d003958
Zm00001d002364,Zm00001d023468
Zm00001d002744,Zm00001d020736
Zm00001d044988,Zm00001d021477
Zm00001d031796,Zm00001d017570
Zm00001d047017,Zm00001d044995
Zm00001d054080,Zm00001d027290
Zm00001d030069,Zm00001d030303
Zm00001d053369,Zm00001d016052
Zm00001d043378,Zm00001d011829
Zm00001d033005,Zm00001d013873
Zm00001d003645,Zm00001d001964
Zm00001d047519,Zm00001d013168
Zm00001d020683,Zm00001d045398
Zm00001d051465,Zm00001d027852
Zm00001d054080,Zm00001d025241
Zm00001d013258,Zm00001d030345
Zm00001d021057,Zm00001d028217
Zm00001d045112,Zm00001d047482
Zm00001d026094,Zm00001d031740
Zm00001d051700,Zm00001d003981
Zm00001d032265,Zm00001d050247
Zm00001d002364,Zm00001d029052
Zm00001d031736,Zm00001d042922
Zm00001d050781,Zm00001d017935
Zm00001d031009,Zm00001d001785
Zm00001d031009,Zm00001d038092
Zm00001d002364,Zm00001d009328
Zm00001d050781,Zm00001d009570
Zm00001d043474,Zm00001d006059
Zm00001d048623,Zm00001d003512
Zm00001d015614,Zm00001d046455
Zm00001d005892,Zm00001d044300
Zm00001d011692,Zm00001d043695
Zm00001d033987,Zm00001d008841
Zm00001d011597,Zm00001d034788
Zm00001d024324,Zm00001d026662
Zm00001d012508,Zm00001d034903
