,V1,V2,
585,Zm00001d039518,3,0
586,Zm00001d007257,4,0
587,Zm00001d014583,4,0
588,Zm00001d020826,6,1
589,Zm00001d018789,6,0
590,Zm00001d014201,6,1
591,Zm00001d027678,6,1
592,Zm00001d026406,6,0
593,Zm00001d021208,5,1
594,Zm00001d014498,8,0
595,Zm00001d016024,6,0
596,Zm00001d046223,6,1
597,Zm00001d053856,6,0
598,Zm00001d047064,6,0
599,Zm00001d010961,5,0
600,Zm00001d035634,4,0
601,Zm00001d018854,4,0
602,Zm00001d049364,3,1
603,Zm00001d031428,3,0
604,Zm00001d051923,8,0
605,Zm00001d046055,5,0
606,Zm00001d047758,5,0
607,Zm00001d048342,4,0
608,Zm00001d032955,4,0
609,Zm00001d002737,5,0
610,Zm00001d011097,7,0
611,Zm00001d009013,1,1
612,Zm00001d039271,1,0
613,Zm00001d052252,3,0
614,Zm00001d032760,1,0
615,Zm00001d045400,6,1
616,Zm00001d048411,6,0
617,Zm00001d046396,1,0
618,Zm00001d007045,7,0
619,Zm00001d018056,6,1
620,Zm00001d003463,3,0
621,Zm00001d013357,6,1
622,Zm00001d007184,6,0
623,Zm00001d021991,1,0
624,Zm00001d031127,5,0
625,Zm00001d037513,8,0
626,Zm00001d037249,6,0
627,Zm00001d047568,4,0
628,Zm00001d013185,5,0
629,Zm00001d043988,4,0
630,Zm00001d020704,6,0
631,Zm00001d042717,5,1
632,Zm00001d049594,5,0
633,Zm00001d038355,4,1
634,Zm00001d037484,6,0
635,Zm00001d034947,5,1
636,Zm00001d012642,5,1
637,Zm00001d032300,3,0
638,Zm00001d037769,4,1
639,Zm00001d050455,5,0
640,Zm00001d051548,5,0
641,Zm00001d051833,4,0
642,Zm00001d031887,3,0
643,Zm00001d028808,3,0
644,Zm00001d018530,3,1
645,Zm00001d053020,3,1
646,Zm00001d049158,3,1
647,Zm00001d051411,6,0
648,Zm00001d039363,4,0
649,Zm00001d034751,3,1
650,Zm00001d011060,3,0
651,Zm00001d020251,5,0
652,Zm00001d027642,6,0
653,Zm00001d022109,8,1
654,Zm00001d015239,8,0
655,Zm00001d031009,6,1
656,Zm00001d008321,6,0
657,Zm00001d031925,3,1
658,Zm00001d005951,4,1
659,Zm00001d052137,4,0
660,Zm00001d023923,5,0
661,Zm00001d017291,4,0
662,Zm00001d037569,6,0
663,Zm00001d015205,4,0
664,Zm00001d016255,4,1
665,Zm00001d046299,7,1
666,Zm00001d039000,2,0
667,Zm00001d038412,3,0
668,Zm00001d052987,4,0
669,Zm00001d012578,6,0
670,Zm00001d011669,4,1
671,Zm00001d002342,7,0
672,Zm00001d028980,6,0
673,Zm00001d052103,4,0
674,Zm00001d049554,3,0
675,Zm00001d008224,6,0
676,Zm00001d013212,5,0
677,Zm00001d045599,6,0
678,Zm00001d010136,5,0
679,Zm00001d008960,5,0
680,Zm00001d045055,7,0
681,Zm00001d004639,1,0
682,Zm00001d012648,3,0
683,Zm00001d030010,1,0
684,Zm00001d041056,4,1
685,Zm00001d023659,4,1
686,Zm00001d016175,3,1
687,Zm00001d033047,3,0
688,Zm00001d010137,4,0
689,Zm00001d026053,3,0
690,Zm00001d010287,4,0
691,Zm00001d007843,3,0
692,Zm00001d017275,3,0
693,Zm00001d007581,3,0
694,Zm00001d043701,5,0
695,Zm00001d040160,6,0
696,Zm00001d046568,4,1
697,Zm00001d015549,4,1
698,Zm00001d027717,6,0
699,Zm00001d010399,5,1
700,Zm00001d042135,2,0
701,Zm00001d020789,5,0
702,Zm00001d038546,4,1
703,Zm00001d012031,4,0
704,Zm00001d047339,2,1
705,Zm00001d027254,2,0
706,Zm00001d020067,4,0
707,Zm00001d044446,4,0
708,Zm00001d011451,5,0
709,Zm00001d043431,1,1
710,Zm00001d012731,1,1
711,Zm00001d018081,3,1
712,Zm00001d039370,3,0
713,Zm00001d029378,1,0
714,Zm00001d029098,4,0
715,Zm00001d045533,6,1
716,Zm00001d010863,6,0
717,Zm00001d038471,5,0
718,Zm00001d040196,6,0
719,Zm00001d053060,4,1
720,Zm00001d004744,7,1
721,Zm00001d041774,5,0
722,Zm00001d025446,6,0
723,Zm00001d038764,5,0
724,Zm00001d034782,3,0
725,Zm00001d010434,6,0
726,Zm00001d016443,6,0
727,Zm00001d003981,3,0
728,Zm00001d038846,3,0
729,Zm00001d040639,4,0
730,Zm00001d005118,4,0
731,Zm00001d011845,4,0
732,Zm00001d026642,6,0
733,Zm00001d005750,3,0
734,Zm00001d028787,6,0
735,Zm00001d027682,4,0
736,Zm00001d038883,5,0
737,Zm00001d053886,4,0
738,Zm00001d037250,6,0
739,Zm00001d045470,3,0
740,Zm00001d051883,3,0
741,Zm00001d017806,3,0
742,Zm00001d038338,3,1
743,Zm00001d037359,4,0
744,Zm00001d014758,6,0
745,Zm00001d040308,6,0
746,Zm00001d028374,5,0
747,Zm00001d005087,5,1
748,Zm00001d019411,5,0
749,Zm00001d009690,3,0
750,Zm00001d015434,3,0
751,Zm00001d018896,1,0
752,Zm00001d018801,4,0
753,Zm00001d053998,6,0
754,Zm00001d023669,3,1
755,Zm00001d021089,3,1
756,Zm00001d049016,3,0
757,Zm00001d014790,3,0
758,Zm00001d022040,1,0
759,Zm00001d043104,7,0
760,Zm00001d044694,4,0
761,Zm00001d022279,7,0
762,Zm00001d010971,3,0
763,Zm00001d051513,6,0
764,Zm00001d044138,5,0
765,Zm00001d003757,4,0
766,Zm00001d040239,8,0
767,Zm00001d015700,4,0
768,Zm00001d028588,2,0
769,Zm00001d003213,6,0
770,Zm00001d029530,1,0
771,Zm00001d031259,4,0
772,Zm00001d014949,4,0
773,Zm00001d027907,4,0
774,Zm00001d028714,6,0
775,Zm00001d024294,7,0
776,Zm00001d005190,4,0
777,Zm00001d038192,6,0
778,Zm00001d050178,6,0
779,Zm00001d013053,5,0
780,Zm00001d002476,4,1
781,Zm00001d015569,4,0
782,Zm00001d028752,5,0
783,Zm00001d047804,1,0
784,Zm00001d027348,3,0
785,Zm00001d016581,6,0
786,Zm00001d037054,5,1
787,Zm00001d014976,6,0
788,Zm00001d043620,3,0
789,Zm00001d051451,5,1
790,Zm00001d004758,4,0
791,Zm00001d051514,8,0
792,Zm00001d044111,4,0
793,Zm00001d022259,4,1
794,Zm00001d020977,4,0
795,Zm00001d013547,4,1
796,Zm00001d009873,1,0
797,Zm00001d031182,4,1
798,Zm00001d026695,4,0
799,Zm00001d024382,6,0
800,Zm00001d015407,4,1
801,Zm00001d037297,4,0
802,Zm00001d040581,6,0
803,Zm00001d001936,5,1
804,Zm00001d040279,4,0
805,Zm00001d045581,2,1
806,Zm00001d005952,2,0
807,Zm00001d051700,8,1
808,Zm00001d011932,8,0
809,Zm00001d037544,4,0
810,Zm00001d017047,1,0
811,Zm00001d008758,1,0
812,Zm00001d032532,5,0
813,Zm00001d037150,4,0
814,Zm00001d011655,5,0
815,Zm00001d003112,4,0
816,Zm00001d025943,3,0
817,Zm00001d006463,3,1
818,Zm00001d031465,3,0
819,Zm00001d016730,5,0
820,Zm00001d009795,1,0
821,Zm00001d018491,5,0
822,Zm00001d038189,1,1
823,Zm00001d041416,1,0
824,Zm00001d032858,5,0
825,Zm00001d015589,5,0
826,Zm00001d050302,3,0
827,Zm00001d038023,5,1
828,Zm00001d038101,6,0
829,Zm00001d007865,4,0
830,Zm00001d050964,6,0
831,Zm00001d040061,4,0
832,Zm00001d034035,4,0
833,Zm00001d022126,4,0
834,Zm00001d031325,2,0
835,Zm00001d031209,1,0
836,Zm00001d009562,1,1
837,Zm00001d043667,1,0
838,Zm00001d021491,1,0
839,Zm00001d028667,5,1
840,Zm00001d012326,4,0
841,Zm00001d011878,3,0
842,Zm00001d016276,1,0
843,Zm00001d051334,4,0
844,Zm00001d039647,5,0
