V1,V2,
Zm00001d006197,5,0
Zm00001d041345,2,0
Zm00001d004614,3,0
Zm00001d018791,2,0
Zm00001d028348,3,0
Zm00001d017216,2,0
Zm00001d049790,6,0
Zm00001d015335,2,0
Zm00001d018214,6,0
Zm00001d017167,3,0
Zm00001d023559,2,0
Zm00001d029519,2,0
Zm00001d028796,2,0
Zm00001d023432,2,0
Zm00001d007868,6,1
Zm00001d049187,6,0
Zm00001d048740,6,0
Zm00001d023736,2,1
Zm00001d038504,2,1
Zm00001d040775,2,1
Zm00001d009763,2,0
Zm00001d049364,4,1
Zm00001d026563,4,1
Zm00001d051908,2,0
Zm00001d043131,2,1
Zm00001d020875,2,0
Zm00001d024408,6,0
Zm00001d020958,3,0
Zm00001d042127,4,1
Zm00001d020042,4,0
Zm00001d031740,5,0
Zm00001d043786,2,0
Zm00001d022026,2,0
Zm00001d007857,3,0
Zm00001d037936,5,0
Zm00001d038281,3,1
Zm00001d029988,3,0
Zm00001d002550,2,0
Zm00001d014366,2,0
Zm00001d026207,1,0
Zm00001d001906,1,0
Zm00001d011912,6,0
Zm00001d026712,3,0
Zm00001d011078,5,0
Zm00001d007267,2,0
Zm00001d005027,2,0
Zm00001d053099,3,0
Zm00001d021607,2,0
Zm00001d022594,1,0
Zm00001d044095,2,0
Zm00001d028413,3,1
Zm00001d047921,3,1
Zm00001d033389,4,0
Zm00001d017666,2,0
Zm00001d036360,2,0
Zm00001d014178,3,0
Zm00001d005047,6,0
Zm00001d032420,2,0
Zm00001d053432,2,0
Zm00001d046837,2,0
Zm00001d013182,6,1
Zm00001d047276,2,0
Zm00001d005846,2,0
Zm00001d018967,4,1
Zm00001d033459,4,0
Zm00001d023565,6,1
Zm00001d029107,6,0
Zm00001d012825,3,0
Zm00001d043039,3,0
Zm00001d018435,2,1
Zm00001d031971,3,0
Zm00001d006945,2,1
Zm00001d042057,1,0
Zm00001d003064,2,1
Zm00001d045785,4,0
Zm00001d025664,3,1
Zm00001d018508,3,0
Zm00001d049160,3,0
Zm00001d013781,2,0
Zm00001d051479,2,0
Zm00001d047582,2,0
Zm00001d025299,3,0
Zm00001d004164,6,0
Zm00001d026337,4,0
Zm00001d049948,2,0
Zm00001d017900,4,1
Zm00001d037951,5,0
Zm00001d020804,3,1
Zm00001d039842,3,0
Zm00001d038065,3,0
Zm00001d017390,2,0
Zm00001d046254,2,0
Zm00001d006025,2,0
Zm00001d054065,6,0
Zm00001d021119,2,0
Zm00001d039414,3,0
Zm00001d017994,2,0
Zm00001d011684,6,0
Zm00001d048004,2,1
Zm00001d020434,2,0
Zm00001d042800,3,0
Zm00001d032217,6,1
Zm00001d038683,6,1
Zm00001d013551,4,0
Zm00001d030990,2,0
Zm00001d042767,2,0
