V1,V2,
Zm00001d042128,5,0
Zm00001d047608,6,0
Zm00001d007898,1,0
Zm00001d047707,1,0
Zm00001d014967,4,0
Zm00001d012161,1,0
Zm00001d036951,4,0
Zm00001d053313,7,1
Zm00001d053149,5,0
Zm00001d010009,1,0
Zm00001d009872,4,0
Zm00001d045145,5,0
Zm00001d008221,5,0
Zm00001d003109,4,0
Zm00001d045392,4,0
Zm00001d030832,4,0
Zm00001d035631,5,0
Zm00001d011417,1,0
Zm00001d050992,6,0
Zm00001d021587,4,0
Zm00001d027813,1,0
Zm00001d032465,5,0
Zm00001d042357,3,0
Zm00001d037272,2,0
Zm00001d017615,3,0
Zm00001d043923,2,0
Zm00001d029478,4,0
Zm00001d032170,4,0
Zm00001d051803,5,0
Zm00001d049826,1,0
Zm00001d038460,1,0
Zm00001d025749,2,0
Zm00001d020461,4,0
Zm00001d044593,2,0
Zm00001d051885,1,0
Zm00001d016165,4,0
Zm00001d026088,5,1
Zm00001d013144,5,0
Zm00001d001784,5,0
Zm00001d033368,6,0
Zm00001d046235,5,0
Zm00001d043762,5,0
Zm00001d022184,2,0
Zm00001d043338,6,0
Zm00001d012867,4,0
Zm00001d031062,4,0
Zm00001d023215,4,0
Zm00001d013669,7,0
Zm00001d008757,1,0
Zm00001d019349,4,0
Zm00001d026343,1,0
Zm00001d040163,3,0
Zm00001d003052,4,1
Zm00001d021748,4,1
Zm00001d016469,7,0
Zm00001d047362,5,0
Zm00001d004171,5,0
Zm00001d042535,2,0
Zm00001d031487,6,1
Zm00001d043149,4,0
Zm00001d044538,7,1
Zm00001d042250,4,0
Zm00001d042341,4,0
Zm00001d046700,4,0
Zm00001d049579,4,0
Zm00001d039282,6,0
Zm00001d011874,5,0
Zm00001d003672,4,0
Zm00001d013847,1,0
Zm00001d027937,5,0
Zm00001d033186,1,0
Zm00001d005658,4,0
Zm00001d033267,5,1
Zm00001d049605,5,0
Zm00001d012816,2,0
Zm00001d030999,1,0
Zm00001d009555,5,0
Zm00001d019182,1,0
Zm00001d047081,4,1
Zm00001d027763,5,0
Zm00001d050868,4,0
Zm00001d052493,4,0
Zm00001d009578,4,0
Zm00001d034766,4,0
Zm00001d052713,4,0
Zm00001d029625,5,0
Zm00001d020629,4,0
Zm00001d005188,4,0
Zm00001d025784,1,0
Zm00001d029257,4,0
Zm00001d048323,4,0
Zm00001d004554,5,0
Zm00001d034494,2,0
Zm00001d019956,1,0
Zm00001d041912,4,0
Zm00001d010061,5,0
Zm00001d011195,1,1
Zm00001d038304,6,0
Zm00001d007698,6,0
Zm00001d021787,1,0
Zm00001d050977,5,0
Zm00001d051854,4,0
Zm00001d034433,5,1
Zm00001d022636,4,0
Zm00001d049333,4,0
Zm00001d053707,1,1
Zm00001d034239,4,0
Zm00001d020180,4,0
Zm00001d041871,4,0
Zm00001d053397,3,1
Zm00001d034699,6,0
Zm00001d038333,6,0
Zm00001d003962,4,0
Zm00001d053889,4,0
Zm00001d013920,1,0
Zm00001d013914,6,0
Zm00001d022434,6,0
Zm00001d010109,4,0
Zm00001d020020,5,1
Zm00001d031648,6,0
Zm00001d027527,1,0
Zm00001d044193,1,0
Zm00001d034320,4,0
Zm00001d037099,4,0
Zm00001d038190,7,0
Zm00001d036178,5,0
Zm00001d011012,4,0
Zm00001d036708,1,0
Zm00001d042875,4,0
Zm00001d010800,4,0
Zm00001d044287,1,0
Zm00001d026586,5,0
Zm00001d043080,4,0
Zm00001d037484,3,0
Zm00001d013289,5,0
Zm00001d044339,5,0
Zm00001d028921,2,0
Zm00001d018366,6,0
Zm00001d016731,4,0
Zm00001d017641,1,0
Zm00001d034005,4,0
Zm00001d015385,7,0
Zm00001d018484,5,0
Zm00001d014321,5,0
Zm00001d042396,4,1
Zm00001d006533,1,0
Zm00001d023734,4,0
Zm00001d029806,4,0
Zm00001d016567,4,0
Zm00001d027571,6,1
Zm00001d036213,1,0
Zm00001d019147,7,0
Zm00001d033423,4,0
Zm00001d044385,4,0
Zm00001d018941,5,1
Zm00001d011832,7,0
Zm00001d034550,1,0
Zm00001d041988,1,0
Zm00001d006342,4,0
Zm00001d006511,5,0
Zm00001d047992,4,0
Zm00001d018925,6,0
Zm00001d048163,7,0
Zm00001d033274,6,1
Zm00001d050347,5,0
Zm00001d030250,4,0
Zm00001d036448,4,0
Zm00001d016458,4,0
Zm00001d034609,1,0
Zm00001d031532,4,0
Zm00001d039185,4,1
Zm00001d028297,1,1
Zm00001d052019,6,0
Zm00001d037620,4,0
Zm00001d026222,4,0
Zm00001d052756,4,0
Zm00001d022443,1,0
Zm00001d023278,1,0
Zm00001d005276,4,0
Zm00001d003447,4,0
Zm00001d017880,3,0
Zm00001d019249,6,0
Zm00001d020736,4,0
Zm00001d032194,4,1
Zm00001d044333,4,0
Zm00001d021598,4,0
Zm00001d043070,6,0
Zm00001d048358,7,0
Zm00001d021020,1,0
Zm00001d047594,1,0
Zm00001d048338,7,0
Zm00001d010863,7,0
Zm00001d041590,4,0
Zm00001d025861,4,1
Zm00001d048119,4,0
Zm00001d011321,5,0
Zm00001d041410,4,0
Zm00001d048403,1,0
Zm00001d045954,5,0
Zm00001d022464,5,0
Zm00001d035973,5,0
Zm00001d033383,4,0
Zm00001d003400,4,0
Zm00001d019490,5,0
Zm00001d016059,4,0
Zm00001d035400,4,0
Zm00001d051545,4,0
Zm00001d041607,4,0
Zm00001d046749,4,0
Zm00001d052518,5,0
Zm00001d051987,2,0
Zm00001d021168,5,0
Zm00001d001881,4,0
Zm00001d022560,1,0
Zm00001d048286,4,0
Zm00001d014737,5,0
Zm00001d026517,4,0
Zm00001d032980,6,0
Zm00001d044748,5,0
Zm00001d049656,4,0
Zm00001d030267,4,0
Zm00001d001841,1,0
Zm00001d020752,6,0
Zm00001d021746,5,0
Zm00001d036798,1,0
Zm00001d029050,4,0
Zm00001d053308,4,0
Zm00001d032536,1,0
Zm00001d011781,5,0
Zm00001d049766,7,0
Zm00001d042398,5,0
Zm00001d038198,4,0
Zm00001d004861,4,0
Zm00001d028218,4,0
Zm00001d012423,5,0
Zm00001d032703,4,0
Zm00001d047638,1,0
Zm00001d033705,7,0
Zm00001d041632,2,0
Zm00001d020888,5,0
Zm00001d025825,4,0
Zm00001d020322,6,0
