V1,V2,
Zm00001d047979,3,0
Zm00001d023465,3,1
Zm00001d039595,3,0
Zm00001d039378,1,0
Zm00001d043536,6,0
Zm00001d012010,6,0
Zm00001d014141,3,0
Zm00001d032681,3,1
Zm00001d021607,4,0
Zm00001d043741,6,0
Zm00001d004553,5,0
Zm00001d003368,3,0
Zm00001d006165,5,1
Zm00001d038332,5,0
Zm00001d045213,3,0
Zm00001d022130,6,0
Zm00001d025673,4,0
Zm00001d015381,1,1
Zm00001d046765,1,0
Zm00001d037894,6,0
Zm00001d045470,5,0
Zm00001d005035,3,0
Zm00001d008171,6,0
Zm00001d021770,7,0
Zm00001d003112,4,0
Zm00001d032282,3,0
Zm00001d042420,1,0
Zm00001d043922,3,1
Zm00001d043402,5,1
Zm00001d017606,5,1
Zm00001d053020,5,1
Zm00001d037084,3,0
Zm00001d031423,5,0
Zm00001d002847,6,0
Zm00001d010200,3,0
Zm00001d010730,4,1
Zm00001d040314,4,0
Zm00001d043277,3,0
Zm00001d045785,6,0
Zm00001d028931,1,0
